start,truth int,fiction type ,film condensed,reality condensed,duration
01:09:26,0,,The Butcher escapes down a tunnel.,The Butcher didn't feature in Kyle's story.,78
01:10:44,0,,"The Butcher jumps into a vehicle, which explodes.",The Butcher didn't feature in Kyle's story.,39
01:11:23,0,,Mustafa tries to shoot at Team 3.,Kyle didn't have any dealings with Mustafa.,59
01:12:22,2,,"Stateside, a man thanks Kyle for saving his life.",Kyle was thanked by a man he saved.,156
01:14:58,2, ,Kyle gets angry when nurses ignore McKenna.,Kyle was angry at all the testing done on his sick daughter.,60
01:15:58,3,,Taya holds McKenna & cries.,Taya was deeply unhappy after McKenna's birth.,110
01:17:48,-1,,Biggles buys an engagement ring locally.,We couldn't find a source for this. ,77
01:19:05,0,,Mustafa watches the team.,Kyle didn't have any dealings with Mustafa.,95
01:20:40,2,,Mustafa shoots Biggles in the face.,"Mustafa blinded Biggles, but Kyle wasn't there. ",87
01:22:07,3,,Biggles is rushed to medical.,Kyle carried Biggles to medical. ,72
01:23:19,2,,"Colonel suggests Team 3 take a break, they refuse.",The team refused the offer of downtime.,60
01:24:19,2,,Lee is gunned down.,Lee was killed on a mission. ,148
01:26:47,1,,Kyle escorts bodies home.,Other men escorted the bodies home.,19
01:27:06,1,,Kyle attends Lee's funeral. ,Kyle was in Iraq for the funeral.,94
01:28:40,0,,Kyle is angry at Lee for giving up.,Kyle spoke highly of Lee's regretful letter.,52
01:29:32,1,,Kyle visits Biggles in hospital.,Kyle didn't manage to see Biggles in hospital.,118
01:31:30,3,,Taya begs Kyle not to go back.,Taya wanted Kyle home. ,97
01:33:07,2,,Kyle hears Biggles died on the operating table.,Biggles did die in surgery but not until many years later.,56
01:34:03,2,,Kyle is thinking of going home for good.,Kyle struggled during his 4th tour. ,54
01:34:57,1,,"Kyle nearly has to kill a kid, & can't handle it. ",Kyle saw a kid with a rocket but was never going to kill him.,90
01:36:27,0,,"Kyle knows Mustafa is near, wants him dead. ",Kyle didn't have any dealings with Mustafa.,40
01:37:07,0,,Kyle sets up position.,Kyle didn't have any dealings with Mustafa.,209
01:40:36,0,,"Mustafa fires, takes out an engineer.",Kyle didn't have any dealings with Mustafa.,52
01:41:28,2,,Kyle kills Mustafa from 2100yds out. ,"Kyle made a 2100yd shot, but it wasn't Mustafa.",159
01:44:07,2,,Insurgents swarm the building. ,Insurgents swarmed a building but Kyle wasn't in it.,229
01:47:56,2,,"Kyle calls Taya, tells her he's coming home.",Kyle was falling apart by this point.,62
01:48:58,2,,Strykers roll in to get them out. ,The army rescued Kyle's team.,178
01:51:56,-1,,"Kyle is stateside, but in a bar instead of at home.",We couldn't find a source for this. ,129
01:54:05,-1,,Kyle hears war sounds in his head.,We couldn't find a source for this. ,40
01:54:45,1,,Kyle nearly kills a dog at a birthday party.,The dog part didn't happen.,74
01:55:59,-1,,Kyle sees a psychiatrist.,We couldn't find a source for this. ,106
01:57:45,3,,Kyle talks to veterans in hospital.,Kyle worked with veterans.,36
01:58:21,3,,Kyle tutors a veteran at a shooting range.,Kyle taught & hung out with veterans. ,73
01:59:34,3,,The family move to Texas.,The family moved from California to Texas.,38
02:00:12,3,,Kyle & McKenna hang out.,Kyle & McKenna got close eventually.,21
02:00:33,3,,Taya & Kyle flirt.,Taya & Kyle got their marriage back on track.,25
02:00:58,3,,Kyle teaches Colton to hunt.,Kyle taught his son to hunt. ,25
02:01:23,3,,Kyle gets ready to take a veteran out shooting. Happy families.,The family were in a good place that day.,144
02:03:47,0,,Taya doesn't like the look of the marine.,Taya never saw the marine. ,24
02:04:11,3,,Kyle was killed by the veteran he was trying to help. ,Eddie Ray Routh shot Kyle dead that day.,11
02:04:22,3,,Thousands of people attended his funeral & memorial.,The funeral & memorial were huge affairs.,172
